sw_type,sw_id,min_telemetry_push_time,experiment_time,packet_count,rmse,telemetry_byte_count,jitter
DINT,2,0.25,60.0,122,0.11949176039654351,7892,"{'h3': 1.5542514198408905, 'h1': 1.365779036863398, 'h4': 1.7367969574003344}"
LINT,2,0.25,60.0,204,0.10745492640282453,12966,"{'h3': 1.9985638710379494, 'h1': 1.7287100449488417, 'h4': 2.3741142897956116}"
sINT,2,0.25,60.0,64,0.2372108565382061,2852,"{'h1': 1.0863486359805736, 'h4': 2.0193348721146807, 'h3': 1.1950194782962007}"
static,2,0.25,60.0,213,0.09844250942142331,13447,"{'h4': 1.1730088576983149, 'h3': 0.9211392800364563, 'h1': 0.8719262770688163}"
DINT,2,0.25,60.0,129,0.11941844423688536,8302,"{'h3': 1.498565328110645, 'h1': 1.2977428756721519, 'h4': 1.4422743558434667}"
LINT,2,0.25,60.0,204,0.11057460334518358,13043,"{'h3': 1.8221356683939633, 'h1': 1.653434340669255, 'h4': 1.7670143795552227}"
sINT,2,0.25,60.0,64,0.2277953933173591,2852,"{'h1': 0.6815517319360731, 'h4': 0.9367506382829053, 'h3': 0.7707665109226847}"
static,2,0.25,60.0,212,0.09166420793928337,13438,"{'h4': 1.6465092782920363, 'h3': 1.242236124179794, 'h1': 1.2199926519824367}"
DINT,2,0.25,60.0,127,0.12338707109196898,7865,"{'h3': 1.4765049692384973, 'h1': 1.3192904031384314, 'h4': 1.859276532677832}"
LINT,2,0.25,60.0,204,0.10144162134247525,12950,"{'h3': 1.2417585843437862, 'h1': 0.9100343303431718, 'h4': 1.2165227178799902}"
sINT,2,0.25,60.0,64,0.22884846250947677,2852,"{'h1': 0.7376202728707668, 'h4': 1.4147650724076957, 'h3': 0.6679263116334555}"
static,2,0.25,60.0,213,0.09066448807066144,13535,"{'h4': 0.9728245815988315, 'h3': 0.8960244510154824, 'h1': 0.8782511250066423}"
DINT,2,0.25,60.0,129,0.09917775139236694,7920,"{'h3': 1.4375894075995732, 'h1': 1.1632288231653578, 'h4': 1.3884175744209362}"
LINT,2,0.25,60.0,204,0.09133772523246186,13013,"{'h3': 1.7827936515954261, 'h1': 1.5009118537367168, 'h4': 1.699095616457377}"
sINT,2,0.25,60.0,64,0.23871247243762309,2852,"{'h1': 0.9960083808439784, 'h4': 1.2669518393536296, 'h3': 1.1192268935972844}"
static,2,0.25,60.0,212,0.09887819038327565,13390,"{'h4': 1.5559555671533847, 'h3': 1.06376235617883, 'h1': 1.138729640210763}"
DINT,2,0.25,60.0,120,0.1225238386035301,8003,"{'h3': 1.3368398855823773, 'h1': 1.2726911092354516, 'h4': 2.128468170453375}"
LINT,2,0.25,60.0,204,0.08913613282293939,12992,"{'h3': 1.856549735481044, 'h1': 1.7245988788432558, 'h4': 2.2772889577287287}"
sINT,2,0.25,60.0,64,0.2171698754531563,2852,"{'h1': 0.9359818404034124, 'h4': 1.2324276168018635, 'h3': 1.0503975648708552}"
static,2,0.25,60.0,212,0.10314074479047255,13414,"{'h4': 1.1052198553713926, 'h3': 0.9672636132727954, 'h1': 0.8921716493015424}"
DINT,2,0.5,60.0,82,0.11468736216875718,4764,"{'h3': 1.3762263116181652, 'h1': 1.3123646662491135, 'h4': 1.9283873886711853}"
LINT,2,0.5,60.0,107,0.09811504193753626,6906,"{'h3': 2.1896822558649514, 'h1': 1.9877093247209892, 'h4': 3.0377155867898082}"
sINT,2,0.5,60.0,64,0.21168168823099948,2852,"{'h1': 1.0850963406003227, 'h4': 1.8068915706569866, 'h3': 1.1163432444227575}"
static,2,0.5,60.0,108,0.1118796972328493,6873,"{'h4': 1.0718621327603155, 'h3': 1.067868664733365, 'h1': 0.9847851311311561}"
DINT,2,0.5,60.0,79,0.12936163403510073,4693,"{'h3': 0.9936728450776271, 'h1': 0.8815702129390797, 'h4': 1.2612686318866277}"
LINT,2,0.5,60.0,106,0.11503869877316691,6719,"{'h3': 1.3098495392331393, 'h1': 0.9892322235145684, 'h4': 1.1398962886544495}"
sINT,2,0.5,60.0,64,0.20276502237690774,2852,"{'h1': 0.6627115825473245, 'h4': 0.6466787413688703, 'h3': 0.669124307022522}"
static,2,0.5,60.0,108,0.11301495805198179,6881,"{'h4': 1.256900543097947, 'h3': 0.696571042605849, 'h1': 0.7447383348776799}"
DINT,2,0.5,60.0,82,0.12268875579386715,4710,"{'h3': 0.9810629405351363, 'h1': 0.9578465817565306, 'h4': 1.1928988490850014}"
LINT,2,0.5,60.0,106,0.12286907906251059,6781,"{'h3': 1.619836063536788, 'h1': 1.2504690987176619, 'h4': 2.1713527582459533}"
sINT,2,0.5,60.0,64,0.19799609066271337,2852,"{'h1': 0.6148738631513436, 'h4': 0.7240278348186371, 'h3': 0.661243915979468}"
static,2,0.5,60.0,108,0.11452370814570843,6906,"{'h4': 1.1833609834229206, 'h3': 0.7857126083621366, 'h1': 0.8064505448910514}"
