sw_type,sw_id,min_telemetry_push_time,experiment_time,packet_count,rmse,telemetry_byte_count,telemetry_percentage,jitter
DINT,2,0.25,60.0,135,0.12191260431610013,7976,0.0006559002321143425,"{'h3': 1.0883412528382337, 'h1': 0.7987200556212706, 'h4': 1.2681502182380402}"
LINT,2,0.25,60.0,212,0.09812423242908552,13558,0.003722378501371042,"{'h3': 1.50320145572985, 'h1': 1.4305154203531616, 'h4': 2.25939768631355}"
sINT,2,0.25,60.0,64,0.22628940269274345,2852,0.00023469901497185505,"{'h1': 0.8994377364844472, 'h4': 1.7455647894218145, 'h3': 0.9280882716495099}"
static,2,0.25,60.0,213,0.10267566405676454,13548,0.0011171562814890799,"{'h4': 2.157633362965844, 'h3': 1.3750334457770723, 'h1': 1.3345880517988291}"
DINT,2,0.25,60.0,125,0.10672490194027968,7923,0.0006534790853701184,"{'h3': 1.0197394511849347, 'h1': 0.963070328041926, 'h4': 1.2914921155308152}"
LINT,2,0.25,60.0,212,0.09897822669106361,13488,0.0037179034188890587,"{'h3': 1.371155648044594, 'h1': 1.1754828087664175, 'h4': 1.4298045253574063}"
sINT,2,0.25,60.0,64,0.22662367588835522,2852,0.00023472686911557352,"{'h1': 0.6465473050698115, 'h4': 0.9626807915064349, 'h3': 0.7644891387552699}"
static,2,0.25,60.0,213,0.08919240077325506,13487,0.0011112013745380568,"{'h4': 1.2289406889576022, 'h3': 0.7592418219816218, 'h1': 0.8578551568860634}"
DINT,2,0.25,60.0,127,0.12620576777280743,8030,0.0006612818722627419,"{'h3': 0.9015701247849649, 'h1': 0.9345762588554544, 'h4': 1.0775475852233543}"
LINT,2,0.25,60.0,212,0.09547220464861805,13558,0.003723012240076362,"{'h3': 1.4723518623421759, 'h1': 1.1263181237782256, 'h4': 1.5132314965774336}"
sINT,2,0.25,60.0,64,0.23397423843580156,2852,0.00023508957555780607,"{'h1': 0.959900401181419, 'h4': 1.3716443110320526, 'h3': 1.097175950607718}"
static,2,0.25,60.0,213,0.10226302342902163,13455,0.0011071180076714104,"{'h4': 1.481583562947936, 'h3': 0.9236733470031936, 'h1': 0.8931695039915584}"
DINT,2,0.25,60.0,125,0.11267901900987666,8241,0.0006801927154917543,"{'h3': 1.4602837223870333, 'h1': 1.2386862110111156, 'h4': 1.387686828210978}"
LINT,2,0.25,60.0,212,0.09460029599484321,13440,0.0037206527212238234,"{'h3': 1.5632943210438786, 'h1': 1.1013447341612852, 'h4': 1.1352839442969715}"
sINT,2,0.25,60.0,64,0.2175323457711104,2852,0.00023486623906517306,"{'h1': 0.8364570894116982, 'h4': 1.0079536060828946, 'h3': 0.8564296107428494}"
static,2,0.25,60.0,213,0.09677063781267187,13480,0.001108780405711634,"{'h4': 1.693529373283889, 'h3': 1.02572682822239, 'h1': 1.039370610458083}"
DINT,2,0.25,60.0,125,0.1133578698270467,8090,0.0006707632141182307,"{'h3': 1.4442379341833789, 'h1': 1.4400041569678212, 'h4': 1.963615866479676}"
LINT,2,0.25,60.0,212,0.0940823548820208,13592,0.003728401059567391,"{'h3': 1.6185188237242807, 'h1': 1.434819389848317, 'h4': 1.340659998231015}"
sINT,2,0.25,60.0,64,0.20683641340847594,2852,0.00023590274322135286,"{'h1': 0.9136610667229655, 'h4': 1.2383384668669906, 'h3': 0.8731413969697062}"
static,2,0.25,60.0,213,0.11098784416015786,13439,0.0011084318349474974,"{'h4': 1.214413095104268, 'h3': 0.7531129256343195, 'h1': 0.8561563946179664}"
DINT,2,0.5,60.0,81,0.13242151582786346,4798,0.00039568595103753345,"{'h3': 1.3324915747919372, 'h1': 1.2695740314280854, 'h4': 1.478031081219402}"
LINT,2,0.5,60.0,108,0.11336572894209353,6906,0.0032611426909447765,"{'h3': 1.5430977447806578, 'h1': 1.3268260563627527, 'h4': 1.4270584462052684}"
sINT,2,0.5,60.0,64,0.2161004982114603,2852,0.00023469901497185505,"{'h1': 0.9125447201513598, 'h4': 1.092311577159357, 'h3': 0.9146325538336194}"
static,2,0.5,60.0,108,0.10793544964856541,6906,0.0005685838409229863,"{'h4': 1.2230356758821708, 'h3': 0.739743004778371, 'h1': 0.8681949186946827}"
DINT,2,0.5,60.0,83,0.14163479275581115,4786,0.00039629867307015544,"{'h3': 1.9858340896619937, 'h1': 1.7612183703821425, 'h4': 2.857004406312989}"
LINT,2,0.5,60.0,108,0.11687809931507233,6931,0.0032646239167147353,"{'h3': 1.9105375954931267, 'h1': 1.6252393708186021, 'h4': 2.0705385172209945}"
sINT,2,0.5,60.0,64,0.22031070817043633,2852,0.00023531333720021682,"{'h1': 1.0697206738241456, 'h4': 1.6924277537286618, 'h3': 1.205776562003516}"
static,2,0.5,60.0,108,0.1140786019862644,6878,0.0005671538901743351,"{'h4': 1.2621578748167797, 'h3': 0.8035745376195663, 'h1': 0.7497607286619685}"
