sw_type,sw_id,min_telemetry_push_time,experiment_time,packet_count,rmse,telemetry_byte_count,telemetry_percentage,jitter
DINT-8,2,0.25,60.0,121,0.11811766767362028,7770,0.0006410123143662987,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-4,2,0.25,60.0,96,0.1255926245254234,5944,0.0004893224957949877,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-2,2,0.25,60.0,67,0.16219197688593068,3419,0.0002816932972155124,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-8,2,0.25,60.0,127,0.11772530980212631,7795,0.0006443011378382891,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-4,2,0.25,60.0,97,0.12162074495770715,5591,0.00046174274314005217,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-2,2,0.25,60.0,59,0.19743465599426496,3453,0.00028456219204363125,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-8,2,0.25,60.0,137,0.10403195718657986,8420,0.0006945536272114563,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-4,2,0.25,60.0,124,0.1148635519231323,7495,0.0006173704909919921,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-2,2,0.25,60.0,126,0.11054001511619453,7520,0.000619209118447129,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-8,2,0.25,60.0,139,0.10986863513841007,8346,0.0006871417226097949,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-4,2,0.25,60.0,127,0.11586815496226213,7622,0.0006279061874215117,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-2,2,0.25,60.0,127,0.11465985550522124,7422,0.0006111396379141743,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-8,2,0.25,60.0,132,0.11279504031445059,8478,0.0007019262485643547,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-4,2,0.25,60.0,139,0.11170195702454186,8301,0.0006862885159897535,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-2,2,0.25,60.0,131,0.1169765456800408,7693,0.0006335294449959244,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-8,2,0.25,60.0,134,0.12612442514147804,8540,0.0007093460410932302,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-4,2,0.25,60.0,130,0.11180442219210401,8155,0.0006730143765113939,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-2,2,0.25,60.0,133,0.11566492586755892,7908,0.0006537191477711137,"{'h1': 0, 'h3': 0, 'h4': 0}"
